record_type,timestamp_iso,timestamp_ms,monotonic_ms,sequence,age_ms,quality,pack_mV,current_mA,power_mW,rmcap_mAh,nominal_mAh,rsoc,fets,cycles,production_raw,protection,balance_low,balance_high,min_mV,max_mV,average_mV,delta_mV,min_index,max_index,poll_us,timeouts,checksum_errors,discarded_frames,link_errors,dropped_logs,hardware,cell_count,ntc_count,temp_01_dC,temp_02_dC,temp_03_dC,temp_04_dC,temp_05_dC,temp_06_dC,temp_07_dC,temp_08_dC,cell_01_mV,cell_02_mV,cell_03_mV,cell_04_mV,cell_05_mV,cell_06_mV,cell_07_mV,cell_08_mV,cell_09_mV,cell_10_mV,cell_11_mV,cell_12_mV,cell_13_mV,cell_14_mV,cell_15_mV,cell_16_mV,cell_17_mV,cell_18_mV,cell_19_mV,cell_20_mV,cell_21_mV,cell_22_mV,cell_23_mV,cell_24_mV,cell_25_mV,cell_26_mV,cell_27_mV,cell_28_mV,cell_29_mV,cell_30_mV,cell_31_mV,cell_32_mV
SLAVE_SAMPLE,2026-08-21T15:14:56Z,1787325296000,23277,318,737,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3331,3328,5,2,24,248010,1,0,0,0,0,SP24S004L24S120A,24,5,265,256,254,254,251,,,,3327,3326,3328,3327,3328,3329,3330,3329,3329,3330,3329,3328,3330,3330,3327,3327,3328,3328,3327,3328,3328,3329,3329,3331,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:14:57Z,1787325297000,24278,319,736,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3331,3328,5,2,24,249155,1,0,0,0,0,SP24S004L24S120A,24,5,266,256,254,254,252,,,,3327,3326,3327,3328,3328,3329,3330,3328,3329,3330,3329,3329,3330,3330,3327,3327,3327,3327,3327,3328,3327,3329,3329,3331,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:14:58Z,1787325298000,25279,320,735,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3331,3328,5,1,24,249587,1,0,0,0,0,SP24S004L24S120A,24,5,266,256,254,254,252,,,,3326,3326,3328,3328,3328,3328,3330,3328,3330,3330,3329,3329,3330,3330,3327,3327,3327,3328,3328,3328,3328,3329,3330,3331,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:14:59Z,1787325299000,26280,321,796,799,79870,0,0,59840,60000,100,3,2,12506,0,0,0,3325,3331,3328,6,2,7,248335,1,0,0,0,0,SP24S004L24S120A,24,5,266,256,253,254,252,,,,3327,3325,3327,3328,3328,3329,3331,3328,3329,3329,3328,3328,3330,3331,3327,3327,3328,3328,3328,3328,3328,3329,3329,3331,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:15:00Z,1787325300000,27278,322,795,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,1,24,248868,1,0,0,0,0,SP24S004L24S120A,24,5,266,256,253,254,251,,,,3326,3326,3327,3328,3329,3328,3331,3328,3329,3330,3329,3329,3329,3330,3327,3328,3328,3328,3327,3328,3328,3329,3329,3332,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:15:01Z,1787325301000,28279,323,794,799,79870,0,0,59840,60000,100,3,2,12506,0,0,0,3327,3332,3328,5,1,24,250052,1,0,0,0,0,SP24S004L24S120A,24,5,267,255,254,253,252,,,,3327,3327,3328,3328,3328,3328,3330,3328,3328,3329,3328,3328,3330,3330,3327,3327,3328,3327,3328,3328,3328,3329,3329,3332,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:15:02Z,1787325302000,29279,324,795,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,1,24,250172,1,0,0,0,0,SP24S004L24S120A,24,5,267,255,254,254,252,,,,3326,3326,3328,3327,3329,3329,3329,3328,3328,3329,3329,3328,3329,3330,3327,3327,3328,3327,3328,3328,3328,3329,3329,3332,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:15:03Z,1787325303000,30277,325,797,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3331,3328,5,1,24,248034,1,0,0,0,0,SP24S004L24S120A,24,5,266,256,254,254,252,,,,3326,3327,3328,3327,3328,3329,3330,3328,3328,3330,3329,3328,3329,3330,3327,3328,3328,3327,3328,3328,3328,3329,3330,3331,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:15:04Z,1787325304000,31277,326,797,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,1,24,248189,1,0,0,0,0,SP24S004L24S120A,24,5,267,255,255,253,253,,,,3326,3326,3327,3328,3328,3328,3331,3328,3328,3330,3328,3328,3329,3330,3327,3328,3328,3328,3328,3328,3328,3329,3329,3332,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:15:05Z,1787325305000,32281,327,796,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,2,24,249251,1,0,0,0,0,SP24S004L24S120A,24,5,267,255,255,254,253,,,,3327,3326,3327,3328,3328,3329,3330,3327,3329,3330,3329,3328,3329,3331,3327,3327,3328,3327,3328,3328,3328,3329,3329,3332,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:15:06Z,1787325306000,33313,328,761,799,79870,0,0,59840,60000,100,3,2,12506,0,0,0,3327,3331,3328,4,1,24,282895,1,0,0,0,0,SP24S004L24S120A,24,5,266,256,254,254,251,,,,3327,3327,3328,3328,3328,3328,3330,3328,3329,3329,3328,3328,3330,3330,3327,3327,3327,3327,3328,3328,3328,3329,3329,3331,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:15:07Z,1787325307000,34277,329,797,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3325,3331,3328,6,2,14,248246,1,0,0,0,0,SP24S004L24S120A,24,5,266,256,254,254,251,,,,3327,3325,3328,3327,3329,3329,3330,3328,3329,3329,3330,3328,3330,3331,3327,3327,3327,3327,3327,3328,3328,3328,3329,3331,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:15:08Z,1787325308000,35278,330,796,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3327,3332,3328,5,1,24,249183,1,0,0,0,0,SP24S004L24S120A,24,5,267,256,255,254,252,,,,3327,3327,3328,3327,3328,3329,3330,3329,3329,3329,3328,3328,3330,3331,3327,3328,3327,3327,3327,3328,3328,3329,3330,3332,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:15:09Z,1787325309000,36279,331,795,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3327,3331,3328,4,1,14,250279,1,0,0,0,0,SP24S004L24S120A,24,5,266,257,254,254,252,,,,3327,3327,3327,3328,3329,3328,3330,3328,3328,3329,3329,3327,3330,3331,3327,3328,3327,3327,3328,3328,3328,3329,3330,3331,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:15:10Z,1787325310000,37277,332,797,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3327,3331,3328,4,1,14,247572,1,0,0,0,0,SP24S004L24S120A,24,5,266,256,254,254,252,,,,3327,3327,3327,3327,3329,3328,3330,3328,3329,3330,3329,3329,3329,3331,3327,3327,3328,3327,3328,3328,3328,3329,3329,3331,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:15:11Z,1787325311000,38278,333,796,799,79870,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,2,24,249364,1,0,0,0,0,SP24S004L24S120A,24,5,266,257,253,255,251,,,,3327,3326,3327,3327,3328,3329,3330,3328,3330,3329,3328,3328,3330,3330,3327,3327,3328,3328,3327,3328,3328,3329,3329,3332,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:15:12Z,1787325312000,39279,334,795,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3331,3328,5,1,7,250086,1,0,0,0,0,SP24S004L24S120A,24,5,266,255,254,254,251,,,,3326,3326,3328,3328,3328,3328,3331,3328,3328,3330,3329,3329,3329,3331,3327,3327,3327,3328,3328,3328,3327,3329,3329,3331,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:15:12Z,1787325312000,39286,334,1795,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3331,3328,5,1,7,250086,1,0,0,0,0,SP24S004L24S120A,24,5,266,255,254,254,251,,,,3326,3326,3328,3328,3328,3328,3331,3328,3328,3330,3329,3329,3329,3331,3327,3327,3327,3328,3328,3328,3327,3329,3329,3331,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:15:14Z,1787325314000,41277,335,797,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3331,3328,5,1,7,248280,2,0,0,0,0,SP24S004L24S120A,24,5,267,255,254,254,252,,,,3326,3326,3328,3328,3328,3328,3331,3328,3329,3330,3329,3329,3329,3330,3327,3327,3328,3327,3328,3328,3328,3329,3329,3331,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:15:15Z,1787325315000,42277,336,797,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,2,24,248172,2,0,0,0,0,SP24S004L24S120A,24,5,268,255,254,254,252,,,,3327,3326,3327,3328,3329,3328,3329,3328,3329,3330,3328,3329,3329,3330,3327,3327,3328,3327,3328,3328,3328,3329,3329,3332,,,,,,,,
SLAVE_SAMPLE,2026-08-21T15:15:16Z,1787325316000,43278,337,796,799,79880,0,0,59840,60000,100,3,2,12506,0,0,0,3326,3332,3328,6,2,24,248506,2,0,0,0,0,SP24S004L24S120A,24,5,267,255,254,254,252,,,,3327,3326,3327,3328,3329,3329,3330,3328,3328,3329,3328,3329,3331,3330,3327,3327,3328,3327,3328,3328,3328,3329,3329,3332,,,,,,,,
